Name,Handle,Category,Followers,Content Strengths,Description,Tier,Avg Engagement (Likes / Replies / Views),Audience & Vibe,Notes + Engagement Drivers
Sahil Lavingia,@shl,BUILDER-IN-PUBLIC,385K,"💬 reply-heavy, ⭐ high-engagement",Founder @Gumroad. Author of The Minimalist Entrepreneur. Now @IRSNews. Views are my,A,~534 likes / 25 replies / 36K views,developer community + builder crowd — build-in-public hustle,Reply-heavy account — conversation driver. High engagement — established voice
Easlo,@heyeaslo,BUILDER-IN-PUBLIC,372K,"📹 videos/media, 😂 memes/shitposts, ⭐ high-engagement","Productivity meets minimalism. Building, designing, and sharing my solutions.",A,~812 likes / 39 replies / 323K views,Solana devs + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Ryan Hoover,@rrhoover,PRODUCT / COMMUNITY,324K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Founder of @ProductHunt. Investor at @WeekendFund. Say hi!,A,~203 likes / 14 replies / 33K views,"developer community + builder crowd — product-minded, community-first",Media posts outperform text. High engagement — established voice
Danny Thompson,@DThompsonDev,DEV ADVOCATES / ECOSYSTEM,301K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Senior Developer Advocate at Atlassian | Co-Host of The Programming Podcast |,A,~109 likes / 17 replies / 7K views,developer community + builder crowd — professional DevRel energy,High engagement — established voice
Phil Labonte,@philthatremains,EMERGING BUILDER,220K,"📹 videos/media, ⭐ high-engagement",Not really a joiner. All That Remains @ATRHQ @Timcast. Pro-nouns and Oxford,A,~2009 likes / 83 replies / 89K views,"developer community + builder crowd — early-stage, learning-in-public",High engagement — established voice
Tom Drr,@tom_doerr,AI + CRYPTO / AGENTS,170K,"📹 videos/media, ⭐ high-engagement","Follow for posts about GitHub repos, DSPy, and agents Subscribe for top",A,~753 likes / 8 replies / 37K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text. High engagement — established voice
Mitchell Hashimoto,@mitchellh,ECOSYSTEM / COMMUNITY,164K,"😂 memes/shitposts, 📝 long-form, 💬 reply-heavy","Working on a new terminal: Ghostty. Prev: founded @HashiCorp. Created Vagrant, Terraform,",A,~427 likes / 20 replies / 39K views,developer community + builder crowd — ecosystem-native,Media posts outperform text. Reply-heavy account — conversation driver
El Programador Senior,@5eniorDeveloper,BUILDER-IN-PUBLIC,144K,"📹 videos/media, ⭐ high-engagement",Full Stack Overflow Developer Collabs: elseniordev@gmail.com,A,~752 likes / 18 replies / 28K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Aureylian,@aureylian,EMERGING BUILDER,136K,"📝 long-form, 💬 reply-heavy, ⭐ high-engagement",Global Head of Player Community @RiotGames. Mom. History Nerd. Gamer. Former: @Twitch.,A,~18 likes / 1 replies / 1K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. Reply-heavy account — conversation driver
Pat Walls,@thepatwalls,BUILDER-IN-PUBLIC,135K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",On a mission to inspire 1B people to build stuff!,A,~179 likes / 30 replies / 18K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Startup Archive,@StartupArchive_,BUILDER-IN-PUBLIC,131K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",Archiving the world's best startup advice for future generations of founders |,A,~402 likes / 12 replies / 58K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Jose Rosado @ WebScale,@joserosado,BUILDER-IN-PUBLIC,118K,"😂 memes/shitposts, 💬 reply-heavy, ⭐ high-engagement","Building sales-generating content & websites for coaches, digital products sellers, and service",B,~8 likes / 0 replies / 3K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. Reply-heavy account — conversation driver
Damon Chen,@damengchen,BUILDER-IN-PUBLIC,90K,"📹 videos/media, ⭐ high-engagement",Founder of and,A,~61 likes / 14 replies / 9K views,developer community + builder crowd — build-in-public hustle,High engagement — established voice
Andrew Steinwold,@AndrewSteinwold,BUILDER-IN-PUBLIC,71K,"😂 memes/shitposts, 📝 long-form",Investing @Sfermion_ Podcast speaking to founders @zima_red Podcast speaking to investors @Angels2Al,B,~13 likes / 5 replies / 1K views,developer community + builder crowd — build-in-public hustle,"Top post: ""We are in a funny time in history where the LESS you know ab..."""
Mr Brass,@cryptobrass,DEV ADVOCATES / ECOSYSTEM,64K,"😂 memes/shitposts, 💬 reply-heavy, ⭐ high-engagement",Married. DYOR. $BNB $ASTER $ETH $ASTHERUS holder. Kols Manager. A Proud Father,A,~37 likes / 35 replies / 4K views,Ethereum devs + builder crowd — professional DevRel energy,"Top post: ""Too much of good thing is gonna burn you out. If you are wal..."""
Farea,@FareaNFts,MARKETING / BUILDER,63K,"📹 videos/media, 😂 memes/shitposts, ⭐ high-engagement",Gem/Alpha Hunter || Content Creator || Ambassador,A,~195 likes / 68 replies / 7K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. High engagement — established voice
Dhanian,@e_opore,BUILDER-IN-PUBLIC,62K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","SoftwareDev. Roadmaps,Cheatsheets, Projects with Source Code & Resources. Learn with me. Coding",A,~311 likes / 10 replies / 8K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Dr Milan Milanovi,@milan_milanovic,VIBECODER / BUILDER-IN-PUBLIC,61K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Chief Roadblock Remover and Learning Enabler | Helping 400K+ engineers and leaders,A,~282 likes / 16 replies / 22K views,developer community + builder crowd — casual vibe coder,High engagement — established voice
Karthik Sridharan,@KarthikS2206,MARKETING / BUILDER,61K,"📝 long-form, ⭐ high-engagement",Founder of helping companies build their dream tech teams | $3M+ bootstrapped,A,~34 likes / 4 replies / 2K views,"developer community + builder crowd — growth-focused, strategic","Top post: ""Biggest hiring mistake I made early on:   Trying to find clo..."""
Stijn Noorman,@stijnnoorman,MARKETING / BUILDER,59K,"💬 short tweets, ⭐ high-engagement",Helping you grow your audience & business. DM me AP if you,A,~841 likes / 93 replies / 26K views,"developer community + builder crowd — growth-focused, strategic",High engagement — established voice
Web Dev Simplified,@DevSimplified,BUILDER-IN-PUBLIC,53K,💬 short tweets,I teach web development in an easy to understand and beginner friendly,A,~15 likes / 0 replies / 2K views,developer community + builder crowd — build-in-public hustle,"Top post: ""I just uploaded a new video! (Every Project Needs This NEW T..."""
Max Stoiber,@mxstbr,BUILDER-IN-PUBLIC,52K,"💬 reply-heavy, ⭐ high-engagement","ChatGPT at @OpenAI. Prev Director of Engineering @Shopify, co-founder and CEO @Stellate",A,~31 likes / 1 replies / 5K views,developer community + builder crowd — build-in-public hustle,Reply-heavy account — conversation driver
Subhash Choudhary,@subhashchy,BUILDER-IN-PUBLIC,52K,💬 reply-heavy,"Co-Founder & CTO Dukaan, Bot9 and Rollout. Free Book",B,~12 likes / 3 replies / 3K views,Indian developer community + builder crowd — build-in-public hustle,Reply-heavy account — conversation driver
Victor,@victor_bigfield,AI + CRYPTO / AGENTS,50K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","I turn my thoughts into visuals, meme, sidebiz, big fails & little",A,~21 likes / 19 replies / 1K views,"developer community + builder crowd — AI-native, agent-first energy","Top post: ""you don't need 10k followers to launch a SaaS you need 10 pe..."""
Destra Network,@DestraNetwork,AI + CRYPTO / AGENTS,45K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","$DSYNC the first on-chain one-stop solution for all your DePin, Cloud and",A,~325 likes / 35 replies / 19K views,"Solana devs + builder crowd — AI-native, agent-first energy",Media posts outperform text. High engagement — established voice
Denelle Dixon,@DenelleDixon,DEV ADVOCATES / ECOSYSTEM,44K,"📝 long-form, ⭐ high-engagement",Stellar,A,~359 likes / 23 replies / 23K views,developer community + builder crowd — professional DevRel energy,Media posts outperform text. High engagement — established voice
Adrian Twarog,@adrian_twarog,BUILDER-IN-PUBLIC,35K,"📹 videos/media, 📝 long-form","I'm Adrian from Australia, I enjoy Design, Dev, UI, UX, Creator of",B,~3 likes / 0 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
Prakash Dadlani,@prakdadlani,EMERGING BUILDER,33K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Helping Entrepreneurs Manufacture in India. 30 years of Manufacturing/Import/Export Expertise in Ele,A,~471 likes / 41 replies / 33K views,"developer community + builder crowd — early-stage, learning-in-public",High engagement — established voice
Sveta Bay,@sveta_bay,MARKETING / BUILDER,33K,💬 reply-heavy,Builder,B,~5 likes / 1 replies / 0K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. Reply-heavy account — conversation driver
ArkDev | HYTOPIA,@iamarkdev,BUILDER / GAMING,32K,"🧵 threads, 📹 videos/media, 😂 memes/shitposts",HYTOPIA,A,~38 likes / 3 replies / 1K views,developer community + builder crowd — game studio founder energy,Media posts outperform text. Reply-heavy account — conversation driver
heaven,@heavendex,DEV ADVOCATES / ECOSYSTEM,32K,"📸 images, 📝 long-form, 💬 reply-heavy",let there be $light,A,~183 likes / 40 replies / 37K views,developer community + builder crowd — professional DevRel energy,Media posts outperform text. Reply-heavy account — conversation driver
"Sophia Yang, Ph.D.",@sophiamyang,DEV ADVOCATES / ECOSYSTEM,31K,"📹 videos/media, ⭐ high-engagement",Head of Developer Relations @MistralAI | Board of @NumFOCUS,A,~188 likes / 8 replies / 10K views,developer community + builder crowd — professional DevRel energy,Media posts outperform text. High engagement — established voice
Lente  dev on a boat,@LenteGameDev,EMERGING BUILDER,29K,"💬 reply-heavy, ⭐ high-engagement",I live on a boat and I love to make games :),A,~217 likes / 5 replies / 5K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. Reply-heavy account — conversation driver
Alex Barashkov,@alex_barashkov,MARKETING / BUILDER,25K,"📝 long-form, 💬 reply-heavy, ⭐ high-engagement",Software developer with more than a decade of web development experience and,A,~128 likes / 10 replies / 11K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. Reply-heavy account — conversation driver
Jaewoong Eum,@github_skydoves,DEV ADVOCATES / ECOSYSTEM,22K,"📝 long-form, ⭐ high-engagement",RevenueCat,A,~32 likes / 1 replies / 1K views,Base devs + builder crowd — professional DevRel energy,"Top post: ""Our team at @RevenueCat is hiring a Senior Android SDK Engin..."""
