Program Name,Category,Amount/Deal,Type,Deadline,Status,Priority,Fit Score,Application Link,Warm Intro?,Notes
Y Combinator,Top Tier,$500K for 7%,Accelerator,Rolling (batch-based),Not Started,1,10,https://www.ycombinator.com/apply,Check network,Gold standard - AI agents are hot topic
Anthropic Startup Program,Top Tier,"$25K-$50K credits, no equity",Credits,Rolling,Not Started,1,10,https://www.anthropic.com/startups,Direct apply,Building on Claude - obvious win
a16z Speedrun,Top Tier,$750K,Accelerator,Check site,Not Started,1,9,https://a16z.com/speedrun/,Warm intro preferred,AI-focused 12-week program
OpenAI Startup Fund,Top Tier,$1M + API credits,Investment,Rolling,Not Started,1,9,https://openai.com/fund,Warm intro preferred,Multi-agent systems focus
Microsoft for Startups,Credits/Top Tier,"$150K Azure/OpenAI credits, no equity",Credits,Rolling,Not Started,1,10,https://www.microsoft.com/startups,Self-serve,Free credits - apply immediately
AWS Activate,Credits,"$100K credits, no equity",Credits,Via accelerators,Not Started,1,9,https://aws.amazon.com/activate/,Through VCs,Infra credits for runway
Base Ecosystem Fund,Crypto,Grants + investment,Grant/Investment,Rolling,Not Started,1,8,https://base.org/fund,Check Coinbase network,Angle: ops layer for onchain teams
Google for Startups AI,Top Tier,"$100K+ GCP credits, equity-free",Accelerator,Cohort-based,Not Started,2,9,https://startup.google.com/programs/accelerator/,Direct apply,AI/ML product fit
Techstars AI,Accelerator,$120K for equity,Accelerator,Cohort-based,Not Started,2,8,https://www.techstars.com/accelerators/ai,Direct apply,Standard accelerator model
Antler,Accelerator,$250K,Accelerator,Rolling,Not Started,2,8,https://www.antler.co/apply,Check network,Global - multiple hubs
On Deck AI,Residency,$125K,Residency,Cohort-based,Not Started,2,8,https://www.beondeck.com/ai,Check OD network,8-week builder residency
South Park Commons,Residency,$400K or residency-only,Residency,Rolling,Not Started,2,8,https://www.southparkcommons.com/,Warm intro,Solo/small teams building AI
Coinbase Ventures,Crypto,Seed/Series A,Investment,Warm intro,Not Started,2,7,https://ventures.coinbase.com/,Need warm intro,Direct investment arm
Alliance DAO,Crypto,$250K,Accelerator,Cohort-based,Not Started,2,7,https://www.alliance.xyz/,Check crypto network,"Angle: ""agent teams for DAOs"""
TinySeed,SaaS,$120K for equity,Investment,Cohort-based,Not Started,2,9,https://tinyseed.com/,Direct apply,Perfect for bootstrapped SaaS
Earnest Capital,SaaS,Revenue-based financing,Investment,Rolling,Not Started,2,8,https://earnestcapital.com/,Direct apply,Founder-friendly terms
Pioneer.app,Indie Grant,$100K grants,Grant,Rolling,Not Started,2,9,https://pioneer.app/,Direct apply,Solo founder leaderboard
Discord Nitro for Developers,Credits,Free Nitro for approved bots,Credits,Rolling,Not Started,1,10,https://discord.com/developers,Direct apply,Building on Discord - must apply
